group,artifact,version,classification,license,source_pom,pom_chain,fetch_status
com.fasterxml.jackson.datatype,jackson-datatype-jdk8,2.22.1,parent-pom,"The Apache Software License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/com/fasterxml/jackson/jackson-base/2.22.1/jackson-base-2.22.1.pom,https://repo.maven.apache.org/maven2/com/fasterxml/jackson/datatype/jackson-datatype-jdk8/2.22.1/jackson-datatype-jdk8-2.22.1.pom | https://repo.maven.apache.org/maven2/com/fasterxml/jackson/module/jackson-modules-java8/2.22.1/jackson-modules-java8-2.22.1.pom | https://repo.maven.apache.org/maven2/com/fasterxml/jackson/jackson-base/2.22.1/jackson-base-2.22.1.pom,ok | ok | ok
com.fasterxml.jackson.datatype,jackson-datatype-jsr310,2.22.1,parent-pom,"The Apache Software License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/com/fasterxml/jackson/jackson-base/2.22.1/jackson-base-2.22.1.pom,https://repo.maven.apache.org/maven2/com/fasterxml/jackson/datatype/jackson-datatype-jsr310/2.22.1/jackson-datatype-jsr310-2.22.1.pom | https://repo.maven.apache.org/maven2/com/fasterxml/jackson/module/jackson-modules-java8/2.22.1/jackson-modules-java8-2.22.1.pom | https://repo.maven.apache.org/maven2/com/fasterxml/jackson/jackson-base/2.22.1/jackson-base-2.22.1.pom,ok | ok | ok
com.fasterxml.jackson.module,jackson-module-parameter-names,2.22.1,parent-pom,"The Apache Software License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/com/fasterxml/jackson/jackson-base/2.22.1/jackson-base-2.22.1.pom,https://repo.maven.apache.org/maven2/com/fasterxml/jackson/module/jackson-module-parameter-names/2.22.1/jackson-module-parameter-names-2.22.1.pom | https://repo.maven.apache.org/maven2/com/fasterxml/jackson/module/jackson-modules-java8/2.22.1/jackson-modules-java8-2.22.1.pom | https://repo.maven.apache.org/maven2/com/fasterxml/jackson/jackson-base/2.22.1/jackson-base-2.22.1.pom,ok | ok | ok
com.github.docker-java,docker-java-api,3.7.1,parent-pom,"The Apache Software License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/com/github/docker-java/docker-java-parent/3.7.1/docker-java-parent-3.7.1.pom,https://repo.maven.apache.org/maven2/com/github/docker-java/docker-java-api/3.7.1/docker-java-api-3.7.1.pom | https://repo.maven.apache.org/maven2/com/github/docker-java/docker-java-parent/3.7.1/docker-java-parent-3.7.1.pom,ok | ok
com.github.docker-java,docker-java-core,3.7.1,parent-pom,"The Apache Software License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/com/github/docker-java/docker-java-parent/3.7.1/docker-java-parent-3.7.1.pom,https://repo.maven.apache.org/maven2/com/github/docker-java/docker-java-core/3.7.1/docker-java-core-3.7.1.pom | https://repo.maven.apache.org/maven2/com/github/docker-java/docker-java-parent/3.7.1/docker-java-parent-3.7.1.pom,ok | ok
com.github.docker-java,docker-java-transport-httpclient5,3.7.1,parent-pom,"The Apache Software License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/com/github/docker-java/docker-java-parent/3.7.1/docker-java-parent-3.7.1.pom,https://repo.maven.apache.org/maven2/com/github/docker-java/docker-java-transport-httpclient5/3.7.1/docker-java-transport-httpclient5-3.7.1.pom | https://repo.maven.apache.org/maven2/com/github/docker-java/docker-java-parent/3.7.1/docker-java-parent-3.7.1.pom,ok | ok
com.github.docker-java,docker-java-transport,3.7.1,parent-pom,"The Apache Software License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/com/github/docker-java/docker-java-parent/3.7.1/docker-java-parent-3.7.1.pom,https://repo.maven.apache.org/maven2/com/github/docker-java/docker-java-transport/3.7.1/docker-java-transport-3.7.1.pom | https://repo.maven.apache.org/maven2/com/github/docker-java/docker-java-parent/3.7.1/docker-java-parent-3.7.1.pom,ok | ok
com.github.docker-java,docker-java,3.7.1,parent-pom,"The Apache Software License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/com/github/docker-java/docker-java-parent/3.7.1/docker-java-parent-3.7.1.pom,https://repo.maven.apache.org/maven2/com/github/docker-java/docker-java/3.7.1/docker-java-3.7.1.pom | https://repo.maven.apache.org/maven2/com/github/docker-java/docker-java-parent/3.7.1/docker-java-parent-3.7.1.pom,ok | ok
com.github.oshi,oshi-common,7.5.0,parent-pom,MIT <https://opensource.org/licenses/MIT>,https://repo.maven.apache.org/maven2/com/github/oshi/oshi-parent/7.5.0/oshi-parent-7.5.0.pom,https://repo.maven.apache.org/maven2/com/github/oshi/oshi-common/7.5.0/oshi-common-7.5.0.pom | https://repo.maven.apache.org/maven2/com/github/oshi/oshi-parent/7.5.0/oshi-parent-7.5.0.pom,ok | ok
com.github.oshi,oshi-core,7.5.0,parent-pom,MIT <https://opensource.org/licenses/MIT>,https://repo.maven.apache.org/maven2/com/github/oshi/oshi-parent/7.5.0/oshi-parent-7.5.0.pom,https://repo.maven.apache.org/maven2/com/github/oshi/oshi-core/7.5.0/oshi-core-7.5.0.pom | https://repo.maven.apache.org/maven2/com/github/oshi/oshi-parent/7.5.0/oshi-parent-7.5.0.pom,ok | ok
