group,artifact,version,declared license
io.swagger.core.v3,swagger-annotations,2.2.46,unknown/not embedded
jakarta.activation,jakarta.activation-api,2.1.4,EDL 1.0
jakarta.annotation,jakarta.annotation-api,3.0.0,EPL 2.0; GPL2 w/ CPE
jakarta.inject,jakarta.inject-api,2.0.1,"The Apache Software License, Version 2.0"
jakarta.persistence,jakarta.persistence-api,3.1.0,Eclipse Public License v. 2.0; Eclipse Distribution License v. 1.0
jakarta.transaction,jakarta.transaction-api,2.0.1,EPL 2.0; GPL2 w/ CPE
jakarta.validation,jakarta.validation-api,3.1.1,Apache License 2.0
jakarta.xml.bind,jakarta.xml.bind-api,4.0.5,unknown/not embedded
net.java.dev.msv,xsdlib,2022.7,BSD
net.thisptr,jackson-jq,1.6.2,unknown/not embedded
nl.basjes.gitignore,gitignore-reader,2.0.0,"Apache License, Version 2.0"
org.apache.commons,commons-compress,1.28.0,unknown/not embedded
org.apache.commons,commons-lang3,3.20.0,unknown/not embedded
org.apache.httpcomponents.client5,httpclient5,5.6.4,unknown/not embedded
org.apache.httpcomponents.core5,httpcore5-h2,5.4.3,unknown/not embedded
org.apache.httpcomponents.core5,httpcore5,5.4.3,unknown/not embedded
org.apache.httpcomponents,httpclient,4.5.14,unknown/not embedded
org.apache.httpcomponents,httpcore,4.4.16,unknown/not embedded
org.apache.logging.log4j,log4j-api,2.26.1,Apache-2.0
org.apache.logging.log4j,log4j-to-slf4j,2.26.1,Apache-2.0
org.apache.maven.resolver,maven-resolver-api,2.0.10,unknown/not embedded
org.apache.maven.resolver,maven-resolver-connector-basic,2.0.10,unknown/not embedded
org.apache.maven.resolver,maven-resolver-impl,2.0.10,unknown/not embedded
org.apache.maven.resolver,maven-resolver-named-locks,2.0.10,unknown/not embedded
org.apache.maven.resolver,maven-resolver-spi,2.0.10,unknown/not embedded
org.apache.maven.resolver,maven-resolver-supplier-mvn3,2.0.10,unknown/not embedded
org.apache.maven.resolver,maven-resolver-transport-apache,2.0.10,unknown/not embedded
org.apache.maven.resolver,maven-resolver-transport-file,2.0.10,unknown/not embedded
org.apache.maven.resolver,maven-resolver-util,2.0.10,unknown/not embedded
org.apache.maven,maven-artifact,3.9.10,unknown/not embedded
org.apache.maven,maven-builder-support,3.9.10,unknown/not embedded
org.apache.maven,maven-model-builder,3.9.10,unknown/not embedded
org.apache.maven,maven-model,3.9.10,unknown/not embedded
org.apache.maven,maven-repository-metadata,3.9.10,unknown/not embedded
org.apache.maven,maven-resolver-provider,3.9.10,unknown/not embedded
org.apache.opennlp,opennlp-tools,2.5.9,unknown/not embedded
org.awaitility,awaitility,4.3.0,unknown/not embedded
org.codehaus.janino,commons-compiler,3.1.12,unknown/not embedded
org.codehaus.janino,janino,3.1.12,unknown/not embedded
org.codehaus.mojo,animal-sniffer-annotations,1.27,unknown/not embedded
org.codehaus.plexus,plexus-interpolation,1.28,unknown/not embedded
org.codehaus.plexus,plexus-utils,4.1.0,Apache-2.0
org.codehaus.plexus,plexus-xml,3.0.1,unknown/not embedded
org.codehaus.woodstox,stax2-api,4.3.0,The BSD 2-Clause License
org.eclipse.angus,angus-activation,2.0.3,unknown/not embedded
org.fusesource.jansi,jansi,2.4.3,"Apache License, Version 2.0"
org.glassfish.jaxb,jaxb-core,4.0.9,unknown/not embedded
org.glassfish.jaxb,jaxb-runtime,4.0.9,unknown/not embedded
org.glassfish.jaxb,txw2,4.0.9,unknown/not embedded
org.hdrhistogram,HdrHistogram,2.2.2,"Public Domain, per Creative Commons CC0; BSD-2-Clause"
org.hibernate.validator,hibernate-validator,8.0.2.Final,unknown/not embedded
org.jboss.logging,jboss-logging,3.4.3.Final,"Apache License, version 2.0"
org.jctools,jctools-core-jdk11,4.0.7,"Apache License, Version 2.0"
org.jctools,jctools-core,4.0.5,"Apache License, Version 2.0"
org.jetbrains,annotations,13.0,"The Apache Software License, Version 2.0"
org.jooq,jooq,3.21.7,"Apache License, Version 2.0"
org.jruby.jcodings,jcodings,1.0.63,MIT License
org.jruby.joni,joni,2.2.6,MIT License
org.json,json,20231013,Public Domain
org.latencyutils,LatencyUtils,2.0.3,"Public Domain, per Creative Commons CC0"
org.slf4j,jcl-over-slf4j,2.0.18,Apache-2.0
org.slf4j,jul-to-slf4j,2.0.18,unknown/not embedded
org.slf4j,slf4j-api,2.0.18,unknown/not embedded
org.snakeyaml,snakeyaml-engine,3.0.1,"Apache License, Version 2.0"
org.threeten,threeten-extra,1.10.0,BSD 3-clause
org.yaml,snakeyaml,2.5,"Apache License, Version 2.0"
tools.jackson.core,jackson-core,3.1.4,"The Apache Software License, Version 2.0"
tools.jackson.core,jackson-databind,3.1.4,"The Apache Software License, Version 2.0"
tools.jackson.dataformat,jackson-dataformat-yaml,3.1.4,"The Apache Software License, Version 2.0"
